基金全称,基金简称,基金代码,基金类型,发行日期,成立日期/规模,净资产规模,份额规模,基金管理人,基金托管人,基金经理人,成立来分红,管理费率,托管费率,销售服务费率,最高认购费率,业绩比较基准,跟踪标的,最高申购费率,最高赎回费率,规模_亿元,成立日期
长城医疗保健混合型证券投资基金,长城医疗保健混合A,000339,混合型-偏股,2014年01月23日,2014年02月28日 / 25.673亿份,2.63亿元（截止至：2025年12月31日）,0.8932亿份（截止至：2025年12月31日）,长城基金,建设银行,谭小兵,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,中证医药卫生指数收益率*90%+中债综合财富指数收益率*10%,该基金无跟踪标的,,,2.63,2014-02-28
长盛城镇化主题混合型证券投资基金,长盛城镇化主题混合A,000354,混合型-偏股,2013年10月14日,2013年11月12日 / 20.115亿份,2.65亿元（截止至：2025年12月31日）,0.8717亿份（截止至：2025年12月31日）,长盛基金,中国银行,代毅,每份累计0.65元（2次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,沪深300指数收益率*80%+中证综合债指数收益率*20%,该基金无跟踪标的,,,2.65,2013-11-12
国泰聚信价值优势灵活配置混合型证券投资基金,国泰聚信价值优势混合A,000362,混合型-灵活,2013年10月14日,2013年12月17日 / 2.137亿份,13.34亿元（截止至：2025年12月31日）,5.2725亿份（截止至：2025年12月31日）,国泰基金,广发银行,程洲,每份累计1.00元（1次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,80%×沪深300指数收益率+20%×上证国债指数收益率,该基金无跟踪标的,,,13.34,2013-12-17
国泰聚信价值优势灵活配置混合型证券投资基金,国泰聚信价值优势混合C,000363,混合型-灵活,2013年10月14日,2013年12月17日 / 2.137亿份,7.66亿元（截止至：2025年12月31日）,3.0905亿份（截止至：2025年12月31日）,国泰基金,广发银行,程洲,每份累计0.99元（1次）,1.20%（每年）,0.20%（每年）,0.50%（每年）,0.00%（前端）,80%×沪深300指数收益率+20%×上证国债指数收益率,该基金无跟踪标的,0.00%（前端）,1.50%（前端）,7.66,2013-12-17
华商优势行业灵活配置混合型证券投资基金,华商优势行业混合A,000390,混合型-灵活,2013年11月14日,2013年12月11日 / 6.396亿份,61.58亿元（截止至：2025年12月31日）,32.9309亿份（截止至：2025年12月31日）,华商基金,建设银行,张明昕,每份累计2.61元（19次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,沪深300指数收益率*55%+上证国债指数收益率*45%,该基金无跟踪标的,,,61.58,2013-12-11
华富灵活配置混合型证券投资基金,华富灵活配置混合A,000398,混合型-灵活,2013年11月29日,2013年12月18日 / 3.247亿份,0.43亿元（截止至：2025年12月31日）,0.5103亿份（截止至：2025年12月31日）,华富基金,工商银行,李孝华、朱程辉,每份累计0.45元（9次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,0.60%（前端）,沪深300指数收益率*60%+上证国债指数收益率*40%,该基金无跟踪标的,,,0.43,2013-12-18
易方达新兴成长灵活配置混合型证券投资基金,易方达新兴成长灵活配置,000404,混合型-灵活,2013年10月30日,2013年11月28日 / 5.474亿份,38.75亿元（截止至：2025年12月31日）,5.3782亿份（截止至：2025年12月31日）,易方达基金,工商银行,蔡荣成,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,'---（每年）,1.20%（前端）,中证新兴产业指数收益率×50%+中债总财富指数收益率×50%,该基金无跟踪标的,,,38.75,2013-11-28
民生加银城镇化灵活配置混合型证券投资基金,民生加银城镇化混合A,000408,混合型-灵活,2013年11月11日,2013年12月12日 / 2.359亿份,3.58亿元（截止至：2025年12月31日）,1.3553亿份（截止至：2025年12月31日）,民生加银基金,建设银行,芮定坤,每份累计1.37元（3次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,沪深300指数收益率×60%+中证国债指数收益率×40%,该基金无跟踪标的,,,3.58,2013-12-12
鹏华环保产业股票型证券投资基金,鹏华环保产业股票,000409,股票型,2014年02月10日,2014年03月07日 / 8.411亿份,11.90亿元（截止至：2025年12月31日）,2.7601亿份（截止至：2025年12月31日）,鹏华基金,建设银行,孟昊,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,'---（每年）,1.20%（前端）,中证环保产业指数收益率×80%+中证综合债指数收益率×20%,该基金无跟踪标的,,,11.9,2014-03-07
益民服务领先灵活配置混合型证券投资基金,益民服务领先混合A,000410,混合型-灵活,2013年11月11日,2013年12月13日 / 10.841亿份,0.26亿元（截止至：2025年12月31日）,0.1516亿份（截止至：2025年12月31日）,益民基金,光大银行,关旭、刘芳,每份累计2.96元（8次）,0.90%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,沪深300指数收益率*65%+中证全债指数收益率*35%,该基金无跟踪标的,,,0.26,2013-12-13
景顺长城优质成长股票型证券投资基金,景顺长城优质成长股票A,000411,股票型,2013年11月21日,2014年01月02日 / 4.642亿份,8.46亿元（截止至：2025年12月31日）,2.8358亿份（截止至：2025年12月31日）,景顺长城基金,建设银行,张仲维,每份累计0.55元（2次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,沪深300指数*90%+中证全债指数*10%,该基金无跟踪标的,,,8.46,2014-01-02
国联安新精选灵活配置混合型证券投资基金,国联安新精选混合A,000417,混合型-灵活,2014年02月14日,2014年03月04日 / 21.132亿份,0.31亿元（截止至：2025年12月31日）,0.2305亿份（截止至：2025年12月31日）,国联安基金,工商银行,章椹元,每份累计0.56元（9次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,沪深300指数*85%+上证国债指数*15%,该基金无跟踪标的,,,0.31,2014-03-04
景顺长城成长之星股票型证券投资基金,景顺长城成长之星股票A,000418,股票型,2013年11月13日,2013年12月13日 / 5.358亿份,21.79亿元（截止至：2025年12月31日）,5.1582亿份（截止至：2025年12月31日）,景顺长城基金,工商银行,周寒颖,每份累计0.99元（2次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,沪深300指数*90%+中证全债指数*10%,该基金无跟踪标的,,,21.79,2013-12-13
前海开源事件驱动灵活配置混合型发起式证券投资基金,前海开源事件驱动混合A,000423,混合型-灵活,2013年11月15日,2013年12月19日 / 1.285亿份,0.59亿元（截止至：2025年12月31日）,0.2759亿份（截止至：2025年12月31日）,前海开源基金,上海银行,王达,每份累计0.00元（0次）,0.90%（每年）,0.05%（每年）,0.00%（每年）,1.20%（前端）,沪深300指数收益率×70%+中证全债指数收益率×30%,该基金无跟踪标的,,,0.59,2013-12-19
鹏华品牌传承灵活配置混合型证券投资基金,鹏华品牌传承混合,000431,混合型-灵活,2013年12月23日,2014年01月28日 / 5.997亿份,2.45亿元（截止至：2025年12月31日）,0.7898亿份（截止至：2025年12月31日）,鹏华基金,农业银行,邱成岳,每份累计0.08元（2次）,1.20%（每年）,0.20%（每年）,'---（每年）,1.20%（前端）,沪深300指数收益率×80%+中证综合债指数收益率×20%,该基金无跟踪标的,,,2.45,2014-01-28
中银优秀企业混合型证券投资基金,中银优秀企业混合,000432,混合型-偏股,2014年01月06日,2014年01月28日 / 4.878亿份,0.12亿元（截止至：2025年12月31日）,0.0581亿份（截止至：2025年12月31日）,中银基金,招商银行,王伟然,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,'---（每年）,1.20%（前端）,沪深300指数收益率×80%+中债综合指数收益率×20%,该基金无跟踪标的,,,0.12,2014-01-28
安信鑫发优选灵活配置混合型证券投资基金,安信鑫发优选混合A,000433,混合型-灵活,2013年12月11日,2013年12月31日 / 5.508亿份,0.39亿元（截止至：2025年12月31日）,0.1529亿份（截止至：2025年12月31日）,安信基金,广发银行,黎志军,每份累计0.00元（0次）,1.00%（每年）,0.20%（每年）,0.00%（每年）,0.80%（前端）,1年期人民币定期存款基准利率+3.00%,该基金无跟踪标的,,,0.39,2013-12-31
南方医药保健灵活配置混合型证券投资基金,南方医药保健灵活配置混合A,000452,混合型-灵活,2013年12月23日,2014年01月23日 / 15.861亿份,20.53亿元（截止至：2025年12月31日）,8.2422亿份（截止至：2025年12月31日）,南方基金,建设银行,蔡强,每份累计0.22元（3次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,中证医药卫生指数收益率*60%+上证国债指数收益率*40%,该基金无跟踪标的,,,20.53,2014-01-23
摩根核心成长股票型证券投资基金,摩根核心成长股票A,000457,股票型,2014年01月02日,2014年02月10日 / 11.925亿份,16.97亿元（截止至：2025年12月31日）,4.945亿份（截止至：2025年12月31日）,摩根基金(中国),中国银行,李博,每份累计0.31元（1次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,沪深300指数收益率*85%+中债总指数收益率*15%,该基金无跟踪标的,,,16.97,2014-02-10
英大领先回报混合型发起式证券投资基金,英大领先回报A,000458,混合型-灵活,2014年01月20日,2014年03月05日 / 1.619亿份,0.60亿元（截止至：2025年12月31日）,0.3954亿份（截止至：2025年12月31日）,英大基金,广发银行,霍达,每份累计0.66元（3次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.00%（前端）,沪深300指数*50%+上证国债指数*50%,该基金无跟踪标的,,,0.6,2014-03-05
英大领先回报混合型发起式证券投资基金,英大领先回报B,000459,混合型-灵活,2014年01月20日,2025年01月03日 / --,0.02亿元（截止至：2025年12月31日）,0.0134亿份（截止至：2025年12月31日）,英大基金,广发银行,霍达,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,'---（后端）,沪深300指数*50%+上证国债指数*50%,该基金无跟踪标的,1.50%（后端）,1.50%（后端）,0.02,2025-01-03
农银汇理主题轮动灵活配置混合型证券投资基金,农银主题轮动混合A,000462,混合型-灵活,2015年04月07日,2015年04月10日 / 56.281亿份,6.16亿元（截止至：2025年12月31日）,1.647亿份（截止至：2025年12月31日）,农银汇理基金,工商银行,高晗,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,沪深300指数*65%+中证全债指数*35%,该基金无跟踪标的,,,6.16,2015-04-10
富国城镇发展股票型证券投资基金,富国城镇发展股票,000471,股票型,2013年12月30日,2014年01月28日 / 4.375亿份,4.80亿元（截止至：2025年12月31日）,1.9654亿份（截止至：2025年12月31日）,富国基金,建设银行,蒲世林,每份累计0.50元（1次）,1.20%（每年）,0.20%（每年）,'---（每年）,1.20%（前端）,沪深300指数收益率*80%+恒生指数收益率(使用估值汇率折算)*10%+中债综合指数收益率*10%,该基金无跟踪标的,,,4.8,2014-01-28
广发主题领先灵活配置混合型证券投资基金,广发主题领先混合A,000477,混合型-灵活,2014年06月30日,2014年07月31日 / 4.204亿份,6.75亿元（截止至：2025年12月31日）,3.1848亿份（截止至：2025年12月31日）,广发基金,工商银行,冯汉杰,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,沪深300指数*40%+中债-综合财富(总值)指数*50%+银行活期存款利率(税后)*10%,该基金无跟踪标的,,,6.75,2014-07-31
东方红新动力灵活配置混合型证券投资基金,东方红新动力混合A,000480,混合型-灵活,2013年12月30日,2014年01月28日 / 11.454亿份,42.28亿元（截止至：2025年12月31日）,7.2845亿份（截止至：2025年12月31日）,东方红资产管理,工商银行,周云,每份累计0.09元（1次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,沪深300指数收益率*70%+中国债券总指数收益率*30%,该基金无跟踪标的,,,42.28,2014-01-28
长安产业精选灵活配置混合型发起式证券投资基金,长安产业精选混合A,000496,混合型-灵活,2014年04月01日,2014年05月07日 / 3.416亿份,0.21亿元（截止至：2025年12月31日）,0.147亿份（截止至：2025年12月31日）,长安基金,广发银行,林忠晶,每份累计0.24元（2次）,1.20%（每年）,0.20%（每年）,'---（每年）,1.20%（前端）,沪深300指数收益率×65%+中证全债指数收益率×35%,该基金无跟踪标的,,,0.21,2014-05-07
国泰国策驱动灵活配置混合型证券投资基金,国泰国策驱动灵活配置混合A,000511,混合型-灵活,2014年01月13日,2014年02月17日 / 3.520亿份,0.29亿元（截止至：2025年12月31日）,0.1615亿份（截止至：2025年12月31日）,国泰基金,建设银行,邓时锋、魏伟、王琳、郑双明,每份累计0.13元（1次）,0.70%（每年）,0.16%（每年）,0.00%（每年）,0.60%（前端）,沪深300指数收益率×50%+中证综合债券指数收益率×50%,该基金无跟踪标的,,,0.29,2014-02-17
富国高端制造行业股票型证券投资基金,富国高端制造行业股票A,000513,股票型,2014年05月26日,2014年06月20日 / 3.907亿份,5.90亿元（截止至：2025年12月31日）,1.3777亿份（截止至：2025年12月31日）,富国基金,建设银行,毕天宇,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,中证800指数收益率*80%+中债综合指数收益率*20%,该基金无跟踪标的,,,5.9,2014-06-20
上银新兴价值成长混合型证券投资基金,上银新兴价值成长混合A,000520,混合型-灵活,2014年03月24日,2014年05月06日 / 2.360亿份,1.43亿元（截止至：2025年12月31日）,1.1768亿份（截止至：2025年12月31日）,上银基金,建设银行,赵治烨,每份累计1.48元（8次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端） 天天基金优惠费率：0.12%（前端）,沪深300指数收益率*50%+上证国债指数收益率*50%,该基金无跟踪标的,,,1.43,2014-05-06
